ID,advance (km)
0001,-17
0003,-2.3
0004,-3
0005,-0.3
0007,-0.2
0009,0.2
0010,0
0014,-0.2
0015,-0.1
0016,-4.1
0019,-0.3
0020,-3.9
0021,-6.6
0022,-6
0024,0.1
0025,NAN
0027,-4.3
0029,-0.7
0035,-4.9
0036,-0.3
0037,-1.9
0039,-1.9
0043,-5.5
0046,-5.3
0047,-5.2
0048,-0.9
0049,NAN
0050,-4.3
0052,-1.7
0054,-1
0058,-5.8
0059,-6.8
0085,-3.9
0099,NAN
0103,NAN
0105,-26
0106,NAN
0111,NAN
0113,NAN
0114,NAN
0115,NAN
0116,-1.4
0124,NAN
0129,-0.1
0135,-1.5
0152,0
0167,-0.2
0168,-0.1
0174,NAN
0177,0
0181,-4
0183,-5
0207,-1.9
0208,-0.3
0212,-0.7
0213,-2.1
0217,-5.6
0245,0.3
0252,0.4
0276,-0.7
0277,-0.5
a006,0.1
a011,-5.9
a030,-0.1
a031,-2.5
a033,-1.5
a034,-14.3
a045,-7.3
a061,-0.2
a112,NAN
a132,-2
a147,0.1
a148,-1.9
a173,-8.8
a184,-0.9
a199,-8.4
a251,-0.1
a260,-1.8
b006,0.1
b011,-5.9
b030,-2.1
b031,-2.5
b033,-1.5
b034,-14.3
b045,-7.3
b061,-0.2
b132,-2
b147,0.1
b148,-1.9
b173,-8.8
b184,-0.9
b199,-8.4
b216,-4.1
b251,-0.1
c031,-2.5
c033,-1.5
c034,-14.3
c061,-0.2
c173,-8.8
c184,-0.9
c216,-4.1
d173,-8.8
d184,-0.9
d216,-4.1
